Split,AURC (Balanced),AURC (Worst-group),AURC Balanced (ρ≤0.8),AURC Worst (ρ≤0.8)
val,0.28062689495642434,0.3661156679490127,0.28062689495642434,0.3661156679490127
test,0.2875636390594192,0.3767618362849853,0.2875636390594192,0.3767618362849853
