Method,ECE,NLL,Brier,Head ECE,Tail ECE
ce_baseline,0.40360838174819946,4.209408760070801,0.9399709105491638,0.3071722388267517,0.6182566285133362
logitadjust_baseline,0.10976145416498184,2.0990941524505615,0.6850912570953369,0.07353734225034714,0.1903892159461975
balsoftmax_baseline,0.12954260408878326,2.2364132404327393,0.7108319997787476,0.09062068909406662,0.21617522835731506
uniform_mix,0.10260504484176636,1.6683540344238281,0.5918179154396057,0.14126130938529968,0.10551194101572037
gating_mix,0.058210719376802444,1.6530965566635132,0.5858879685401917,0.11327409744262695,0.0936957448720932
