Method,Accuracy,ECE,NLL,Brier,Head Acc,Tail Acc
Oracle@E,0.6811250448226929,0.03534974157810211,1.0882707834243774,0.4148043692111969,0.7887681722640991,0.4415322542190552
Uniform-Mix,0.5567499995231628,0.10260504484176636,1.6683540344238281,0.5918179154396057,0.6818841099739075,0.2782258093357086
Gating-Mix,0.5588750243186951,0.058210719376802444,1.6530965566635132,0.5858879685401917,0.6751812100410461,0.29999998211860657
ce_baseline,,0.40360838174819946,4.209408760070801,0.9399709105491638,,
logitadjust_baseline,,0.10976145416498184,2.0990941524505615,0.6850912570953369,,
balsoftmax_baseline,,0.12954260408878326,2.2364132404327393,0.7108319997787476,,
